dj	dj || 0
speculate	anticipate,bull,cerebrate,chew over,cogitate,commit,conjecture,consider,contemplate,develop,excogitate,expect,guess,hypothecate,hypothesise,hypothesize,invest,job,meditate,mull,mull over,muse,place,ponder,put,question,reason,reflect,retrace,ruminate,say,suppose,theorise,theorize,think,think over,venture,wonder || 0.329679953964
speed	accelerate,belt along,buck,bucket along,cannonball along,charge,dash,deepen,flutter,go,hasten,hie,hotfoot,hurry,intensify,locomote,modify,move,pelt along,qualify,quicken,race,run,rush,rush along,shoot,speed up,travel,travel rapidly,zip || -0.172932943353
speed up	accelerate,speed || 0.0
spell	alternate,bewitch,enchant,glamour,hex,import,intend,jinx,mean,recite,relieve,spell out,take over,take turns,witch,write || -0.329679953964
spell out	spell || 0.0
spellbind	grip || 0
spend	afford,blow,commit,consume,deplete,do,drop,eat,eat up,exhaust,expend,holiday,invest,lead,pass,pay,place,put,run through,save,serve,use up,waste,wipe out || 0
spend a penny	make || 0.0
spiel	fiddle,play,repeat || 0.329679953964
spike	alter,banish,bar,change,develop,empale,fasten,fix,fortify,impale,increase,lace,modify,pierce,relegate,secure,spike out,thrust,transfix || 0.329679953964
spike out	spike || 0.0
spill	shed,talk || -0.698805788088
spill the beans	talk || 0.0
spin	birl,circumvolve,cook up,create from raw material,create from raw stuff,distort,draw out,extend,fabricate,go around,gyrate,invent,lay out,make up,manufacture,present,prolong,protract,reel,represent,revolve,rotate,spin around,spin out,stream,twine,twirl,twist,well out,whirl || 0.399051741003
spin around	reel,spin || 0.0
spin out	spin || 0.0
spiral	coil,corkscrew,curve,gyrate,turn,twist,wind || 0
spirt	blow,forge,pump,spout,spurt || 0
spit out	cough || 0.0
spit up	cough || 0.0
spite	bruise,humble,hurt,sting,wound || -0.798103482005
splay	slip || 0
splice	tie,wed || 0
split	blow,break,break open,break up,burst,carve up,change integrity,cleave,come apart,disjoint,dissever,divide,divorce,fall apart,lot,move,part,pop,rive,separate,split up,tear || -0.798103482005
split up	break,break up,bust,disjoint,divide,divorce,lot,part,run,smash,snap,split || 0.0
spoil	blow,cross,dash,debase,despoil,dilute,disappoint,frustrate,itch,mar,ruin*,short-circuit,stretch,thwart || 0.304317074965
sponsor	back up,buy at,frequent,patronise,patronize,shop,shop at,support || 0
sport	boast,di cavort,feature,frisk,frolic,gambol,have,lark,lark about,play,rollick,romp,run around,skylark || 0.329679953964
spot	begrime,bemire,blemish,blob,blot,change,change surface,colly,descry,dirty,espy,fleck,grime,mark,sight,soil,spy,tarnish || 0.329679953964
spotlight	highlight || 0.698805788088
spout	blow,gush,jabber,mouth,mouth off,pour,pump,rabbit on,rant,rave,speak,spirt,spurt,talk,utter,verbalise,verbalize || 0
sprain	turn || 0
spread	air,bare,broadcast,carry,catch,circularise,circularize,circulate,continue,cover,creep,diffuse,disperse,disseminate,distribute,export,extend,fan out,go,go around,locomote,move,open,overcover,pass around,pass on,propagate,publicise,publicize,run,scatter,spread,spread out,travel,undo,unfold || 0.329679953964
spread out	break,creep,expand,open,run,spread || 0.0
spread over	cover,flood || 0.0
spread-eagle	rout || -0.329679953964
spreadeagle	rout || 0
spring	bounce,bound,form,jump,kick,leap,rebound^,skip || 0.232935262696
spring up	arise,come,develop,emerge,follow,grow,head,originate,swell || 0.0
sprinkle	dust || 0
sprout	shoot,stock || 0
spud	shoot || 0.329679953964
spur	advance,boost,encourage,equip,fit,fit out,further,goad,outfit,promote^,strike || 0
spurn	scorn || -0.698805788088
spurt	blow,forge,go,gush,locomote,move,pour,pump,spirt,spout,travel || 0
sputter	scramble,struggle || -0.399051741003
spy	spot || 0.0
squall	call,cry || -0.232935262696
squander	blow,shoot,waste || 0.0
square	adapt,adjust,agree,check,conform,correspond,feather,fit,form,gibe,jibe,match,multiply,paddle,position,row,settle,shape,square up,tally || 0.329679953964
square away	make || 0.0
square off	clear,concert,determine,settle || 0.0
square up	clear,concert,determine,settle,square || 0.0
squash	squeeze,tread || 0.329679953964
squawk	beef,crab || 0
squeeze	bosom,clasp,coerce,compact,compel,compress,constrict,contract,crush,displace,drive,embrace,extort,fleece,force,gazump,gouge,grip,hale,hook,hug,impact,mash,move,nip,obligate,oblige,overcharge,pinch,pluck,plume,press,pressure,push,rack,rob,shove,soak,squash,squelch,stuff,surcharge,thrust,tighten,tread,tweet,twinge,twitch,wedge,wring || 0.232935262696
squelch	squeeze,tread || 0.329679953964
squinch	shrink || -0.798103482005
squirrel away	hoard,stash || 0.0
ssurface	well || 0.0
stab	dig || 0
stabilise	alter,beef up,brace,calm,change,fortify,guy,modify,peg,settle,stabilize,steady,strengthen || 0.329679953964
stabilize	alter,beef up,brace,change,fortify,guy,modify,peg,settle,stabilise,steady,strengthen || 0.329679953964
stable	shelter || -0.399051741003
stack	arrange,heap,lade,laden,load,load up,pile,set up || 0.329679953964
stack away	accumulate,amass,collect,compile,hoard,store || 0.0
staff	man || 0
stag	shop || -0.329679953964
stage	arrange,initiate,pioneer,place,present,re-create,represent,set || 0
stagger	flounder,lurch,reel || 0.329679953964
stagnate	slug || -0.329679953964
stain	dip,tarnish || 0.232935262696
stake	adventure,back,bet,bet on,fasten,fix,gage,game,hazard,impale,jeopardize,kill,lay on the line,mark,play,post,punt,put on the line,risk,secure,venture,wager || 0.329679953964
stalk	haunt || -0.329679953964
stall	conk,delay,detain,dilly-dally,dillydally,drag one's feet,drag one's heels,halt,hold up,procrastinate,shelter,shillyshally,stop || 0
stammer	falter || 0
stamp	block,date || -0.232935262696
stamp down	blink,curb,dampen,stifle,still,subdue || 0.0
stampede	act,flee,fly,move,take flight || -0.329679953964
stanch	halt,stem || 0
stand	abide,accept,allow,array,be,bear,brook,continue,countenance,defend,digest,endure,evaluate,fend,fight,fight back,fight down,hold out,judge,lay,let,measure,oppose,pass judgment,pay,permit,place,place upright,pose,position,put,put up,queue,remain,remain firm,resist,rest,serve,service,set,stand up,stay,stick out,stomach,submit,suffer,support,take,tolerate,undergo,with stand firm || 0.392673744445
stand by	stick || 0.0
stand firm	defy,hold,resist,withstand || 0.0
stand for	be,correspond,mean,represent || 0.0
stand in	substitute || 0.0
stand out	eclipse,exceed,jump,overshadow*,pass,rank,surpass^,top || 0.0
stand up	arise,queue,rise,stand || 0.0
standardise	gauge || 0
standardize	gauge || 0
star	asterisk,do,execute,feature,have,mark,perform || 0.329679953964
stargaze	dream || 0
start	act,be,begin,bug out,bulge,bulge out,change form,change shape,come out,commence,create,deform,depart,embark,embark on,enter,fall,get,get down,get going,go,go away,go forth,initiate,introduce,jump,jump-start,launch,lead off,leave,make,move,open,originate,part,play,plunge,pop,pop out,protrude,set,set about,set forth,set off,set out,shy,start out,start up,startle,take off,take up || 0.448964845499
start out	begin,commence,embark,enter,fall,get,launch,part,plunge,start || 0.0
start up	begin,commence,embark on,jump,jump-start,lead off,open,start || 0.0
startle	galvanise,galvanize,jump,shy,start || 0.329679953964
starve	buy the farm,cash in one's chips,choke,conk,crave,croak,decease,deprive,desire,die,drop dead,exit,expire,famish,give-up the ghost,go,hunger,hurt,kick the bucket,lust,pass,pass away,perish,pop off,snuff it,suffer,thirst,want || 0.0
stash	cache,hive up,hoard,lay aside,lay away,save,save up,squirrel away || 0.550671035883
stash away	accumulate,amass,collect,compile,hoard,store || 0.0
state	add,advise,announce,answer,declare,denote,explain,express,give,give tongue to,introduce,mention,note,posit,premise,present,propose,put forward,refer,remark,represent,respond,say,submit,suggest,sum,supply,tell,utter,verbalise,verbalize,vote || -0.550671035883
station	base,place,post,send || 0
staunch	halt,stem || 0.864664716763
stave off	avert^,avoid || 0.0
stay	abide,appease,be,bide,block,check,continue,delay,detain,fasten,fill,fix,fulfil,fulfill,halt,keep,kibosh,last out,linger,meet,outride,persist,quell,remain,rest,retard,ride out,satisfy,secure,stand,stay in place,stay on,stay put,stick,stick around,stop,visit || 0.239809449005
stay fresh	keep || 0.0
stay in place	stay,stick || 0.0
stay on	continue,remain,stay || 0.0
stay put	stay,stick || 0.0
steady	becalm,beef up,brace,calm,fortify,guy,stabilise,stabilize,strengthen || 0
steady down	settle || 0.0
steal	lift,rob,roll,slip || 0
steam	anger,arise,clean,come up,cook,emit,give off,give out,go,go up,lift,locomote,make clean,move,move up,rise,see red,steam clean,steamer,travel,uprise || 0.518798830058
steam clean	steam || 0.0
steamer	steam || 0
steel	brace,cover,nerve,poise || -0.329679953964
steep	absorb,center,centre,concentrate,draw,engross,engulf,focus,imbue,immerse,infuse,plunge,pore,rivet,soak,soak up || 0
steepen	alter,change,modify || 0
steer	crab,head,point || 0.550671035883
stem	check,halt,orient,originate in,remove,stanch,staunch,take,take away,withdraw || 0.329679953964
step	abuse,do by,execute,furnish,go,handle,ill-treat,ill-use,lay,locomote,maltreat,measure,mistreat,move,pace,place,pose,position,provide,put,quantify,render,run,set,supply,travel,tread,treat,walk || -0.232935262696
step down	fall,quit,weaken || 0.0
step in	cover,intervene,substitute || 0.0
sterilise	fix || 0.329679953964
sterilize	fix || 0.329679953964
stick	adhere,adjoin,adopt,adorn,amaze,attach,baffle,be,beat,beautify,bedevil,befuddle,bewilder,bind,bond,cleave,cling,cohere,confound,confuse,contact,decorate,deposit,discombobulate,dumbfound,embellish,espouse,fasten,fix,flummox,follow,force,fox,fuddle,get,grace,gravel,hold fast,lay,lodge,meet,mystify,nonplus,ornament,perplex,persist,pierce,place,pose,position,put,put forward,puzzle,remain,riddle,secure,set,stand by,stay,stay in place,stay put,stick around,stick by,stick to,sting,stupefy,throw,thrust,touch,vex,wedge || -0.628550783698
stick around	stay,stick || 0.0
stick by	stick || 0.0
stick in	feed,inject,introduce,shoot,slip || 0.0
stick on	post,seal || 0.0
stick out	accept,bear,digest,endure,jump,pay,project,stand,submit,suffer,support,take,thrust,undergo || 0.0
stick to	bind,bond,follow,stick || 0.0
stick with	follow || 0.0
stiffen	alter,bound,change,confine,constrain,limit,modify,restrain,restrict,throttle,tighten,tighten up,trammel || 0.329679953964
stifle	asphyxiate,block,buy the farm,cash in one's chips,choke,close up,conk,conquer,croak,curb,dampen,decease,die,drop dead,exit,expire,give-up the ghost,go,impede,inhibit,jam,kick the bucket,muffle,obstruct,obturate,occlude,pass,pass away,perish,pop off,repress,smother,snuff it,stamp down,strangle,subdue,suffocate,suppress || 0.0
stigmatise	mark || 0
stigmatize	mark || 0
still	allay,alter,calm,calm down,change,comfort,compose,conquer,console,curb,ease,hush,hush up,inhibit,lull,modify,quiet,quieten,reassure,relieve,shut up,silence,solace,soothe,stamp down,subdue,suppress,tranquilize,tranquillise,tranquillize || -0.324225425851
stimulate	affect,arouse,bear on,bear upon,blow,brace,bring,cause,challenge,compel,effect,effectuate,elicit,encourage,energise,energize,enkindle,evoke,excite,fire,fuel,get,hasten,have,impact,induce,inspire^,kindle,lead,let,lure,make,perk up,prompt,provoke,raise,renovate,revive,rush,scare,sensitise,sensitize,set up,sex,shake,shake up,stir,tempt,touch,touch on,work || 0.798103482005
sting	ache,bite,bruise,burn,force,hurt,injure,offend,pierce,prick,smart,spite,stick,suffer,thrust,twinge,wound || -0.939189937375
stipulate	condition,provide || 0
stir	affect,agitate,arouse,bless,blow,bring up,budge,call down,call forth,conjure,conjure up,create,displace,elicit,enkindle,evoke,excite,fire,fuel,get,impress,inspire^,invoke,kindle,make,move,provoke,put forward,raise,scare,sensitise,sensitize,sex,shake,shake up,shift,stimulate,strike,tempt,touch,work || 0.0
stir up	beat,ignite,raise,scramble,toss,wake || 0.0
stitch	fell,gather,hem,run up,tack,tick || 0.329679953964
stock	acquire,buy in,carry,develop,equip,fit,fit out,furnish,get,grow,have,have got,hold,outfit,produce,provide,render,sprout,stockpile,supply || 0
stock-take	inventory || 0
stockpile	carry,stock || 0
stoke	tend || 0.329679953964
stomach	accept,bear,digest,endure,pay,stand,submit,suffer,support,take,undergo || 0.172932943353
stool	make || -0.698805788088
stoop	huddle || -0.479618898011
stop	arrest,bar,barricade,block,block off,block up,blockade,brake,break,break off,break up,call,catch,cease,check,close,close up,conclude,contain,culminate,cut,cut off,defend,disappear,discontinue,disrupt,drop,end,finish,forbid,foreclose,forestall,give up,go,grab,halt,hold,hold back,hold on,impede,intercept,interrupt,jam,kibosh,lay off,obstruct,obturate,occlude,preclude,prevent,quit,rein,settle,stall,stay,stop over,take hold of,terminate,turn back,withdraw || 0.0
stop over	call,stop || 0.0
stop up	secure || 0.0
store	accumulate,amass,bottle,collect,compile,garner,hive away,hoard,hold on,keep,lay in,put in,salt away,stack away,stash away,tank || -0.329679953964
storm	force,surprise || -0.399051741003
straddle	range || 0.329679953964
straighten	extend,make || 0.909282046711
straighten out	clear,extend,make,unravel || 0.0
strain	affect,afflict,apply,bother,deform,distort,drive,employ,extend,filter,filter out,filtrate,form,labor,labour,overextend,puree,push,reach,riddle,rub,separate,separate out,shape,sieve,sift,stress,stretch,strive,tense,tense up,tighten,trouble,try,tug,use,utilise,utilize || -0.172932943353
strangle	hamper,stifle,suffocate || -0.172932943353
strap	hobble,slash,switch || 0.0
stray	drift,range,roll || -0.550671035883
streak	blotch,color,color in,colorise,colorize,colour,colour in,colourise,colourize,mottle,move,run || -0.329679953964
stream	pour,sheet,spin || 0.0
strengthen	alter,back,beef up,brace,change,confirm,consolidate,exercise,fortify,modify,restrengthen,secure,stabilise,stabilize,steady,tone,tone up,work out || 0.864664716763
stress	accent,accentuate,afflict,articulate,emphasise,emphasize,enounce,enunciate,evince,express,pronounce,punctuate,say,show,sound out,strain,try,underline,underscore || 0.329679953964
stretch	adulterate,be,broaden,change form,change shape,corrupt,debase,deform,dilute,draw,elongate,extend,force,give,grow,increase,lengthen,lie,lie down,move,pull,spoil,strain,stretch along,stretch out,tense,tense up,unfold,widen,yield || -0.329679953964
stretch along	stretch || 0.0
stretch forth	extend || 0.0
stretch out	extend,stretch || 0.0
strickle	strike || 0.329679953964
strike	accomplish,achieve,affect,assail,assume,attack,attain,bang,batter,bear on,bear upon,beat,bottom,buffet,bump,butt,cancel,chance on,chance upon,clash,clout,coin,collide with,come about,come across,come to,come upon,create,create from raw material,create from raw stuff,delete,discover,displace,dissent,even,even out,excise,expunge,fall,fall out,fall upon,figure out,find,flush,form,go on,hap,happen,happen upon,hit,impact,impinge on,impress,infect,knock,level,lick,light upon,make,mint,move,occur,pass,pass off,penetrate,perforate,pick,pierce,protest,puzzle out,reach,read,record,regain,register,resist,run into,scratch,shape,shine,show,slap,slice,smash,solve,spur,stir,strickle,surprise,take,take place,take up,tap,tip,touch,touch on,trouble,walk out,work,work out || -0.111028157132
strike down	avoid,cancel,cut,drop,fell,lift,log,recall,remit,reverse || 0.0
strike hard	knock || 0.0
strike off	mark || 0.0
strike out	kick,mark || 0.0
string	add,advance,alter,arrange,change,draw,fasten,fix,go on,march on,modify,move on,pass on,progress,remove,secure,set up,string along,string up,take,take away,thread,wire,withdraw || 0.550671035883
string along	string || 0.0
string up	hang,string || 0.0
strip	despoil,pare,pull || -0.399051741003
strive	bother,buck,reach,strain,struggle,trouble || 0.329679953964
stroke	lick || 0.329679953964
strong-arm	bully || 0
struggle	assay,attempt,battle,clamber,climb,combat,contend,defend,drive,endeavor,endeavour,essay,fight,flounder,joust,oppose,push,scramble,seek,settle,shin,shinny,skin,sputter,strive,struggle,try,tug,tussle,war || 0.329679953964
strut	swagger || 0.550671035883
study	compare,consider,contemplate,follow,liken,major,name,practice,read,review,sift,survey,take,train,view || 0.798103482005
stuff	back up,binge,block,choke,choke off,choke up,clog,clog up,congest,eat,englut,engorge,farce,fill,fill up,force,foul,glut,gorge,gormandise,gormandize,gourmandize,impregnate,ingurgitate,lug,make full,overeat,overgorge,overindulge,pad,pig out,push,satiate,saturate,scarf out,shove,squeeze,thrust || -0.232935262696
stumble	falter,hit || 0.399051741003
stun	galvanise,galvanize,shock || -0.329679953964
stupefy	beat,get,pose,riddle,stick || -0.798103482005
stutter	falter || 0
stymie	block,hang || 0
stymy	block,hang || 0
sub	substitute || 0.0
subcontract	job || 0
subdue	alter,blink,change,chasten,check,conquer,contain,control,cricify,crush,curb,dampen,defeat,get over,get the better of,hold,hold in,inhibit,keep down,lour,lower,master,moderate,modify,mortify,oppress,overcome,quash,reduce,repress,stamp down,stifle,still,subjugate,subordinate,suppress,surmount,tame || -0.756525993652
subject	affect,bear on,bear upon,dominate,expose,give,impact,master,put,refer,return,subjugate,submit,touch,touch on || 0.402509973161
subjugate	reduce,subdue,subject || -0.698805788088
submerge	dive || 0
submerse	dive || 0
submit	abide,accede,accept,advise,apply,bear,bow,brook,buckle under,defer,digest,endure,gift,give,give in,knuckle under,pass on,posit,present,propose,put forward,put in,put up,reconcile,refer,relegate,render,resign,return,stand,state,stick out,stomach,subject,succumb,suffer,suggest,support,take,test,tolerate,undergo,yield || -0.399051741003
subordinate	grade,lour,lower,order,place,range,rank,rate,subdue || -0.196336872222
subscribe	agree,bid,buy,concord,concur,donate,hold,offer,pledge,purchase,sign,subscribe to,support,take,tender,write || 0
subscribe to	subscribe,take || 0.0
subside	settle,sink || -0.399051741003
subsist	drift,exist,live,survive || -0.329679953964
substantiate	back,confirm,establish,prove,realize,show,support,sustain,validate || 0.232935262696
substitute	change,cover,deputise,deputize,exchange,fill in,interchange,reduce,replace,shift,stand in,step in,sub,supercede,supersede,supervene upon,supplant || -0.232935262696
subvert	counteract,debase,infect,revolutionize,undermine*,weaken || 0.172932943353
succeed	achieve,act,arrive,clear,enter,follow,hit,manage,pass,peg,reach,replace,run,supersede,supplant,win,work || 0
succumb	accept,buckle under,buy the farm,cash in one's chips,choke,conk,consent,croak,decease,die,drop dead,exit,expire,give in,give-up the ghost,go,go for,kick the bucket,knuckle under,pass,pass away,perish,pop off,snuff it,submit,yield || -0.329679953964
suck	absorb,bottle-feed,breastfeed,draw,drink,give,give feed,imbibe,lactate,mop,mop up,nurse,soak up,sop up,suck in,suck up,suckle,take in,take out,take up,wet-nurse || 0.939189937375
suck in	suck || 0.0
suck up	draw,mop,mop up,suck || 0.0
suckle	nurse,suck || 0
sue	action,process || 0
suffer	abide,accept,ache,ail,allow,be,be given,bear,break up,brook,catch,collapse*,comprehend,countenance,decline*,die,digest,endure,experience,feel,get,go through,have,hurt,incline,lean,let,lose,meet,pay,perceive,permit,put up,receive,run,see,stand,starve,stick out,sting,stomach,submit,suffocate,support,sustain,take,tend,tolerate,undergo,worsen* || -0.623961526704
suffice	answer,do,function,serve || 0.329679953964
suffocate	asphyxiate,become,block,buy the farm,cash in one's chips,choke,close up,conk,croak,dampen,decease,die,drop dead,exit,expire,feel,gag,give-up the ghost,go,hurt,impede,jam,kick the bucket,kill,obstruct,obturate,occlude,pass,pass away,perish,pop off,smother,snuff it,stifle,strangle,suffer,turn || -0.719428347016
suggest	advance,advert,advise,advocate,convey,declare,evince,evoke,express,hint,impart,imply,indicate,inform,intimate,move,paint a picture,propose,recommend,show,state,submit,touch || 0.550671035883
suit	accommodate,agree,be,beautify,become,befit,beseem,check,conform to,correspond,embellish,fancify,fit,gibe,jibe,match,meet,prettify,tally || 0.798103482005
sully	tarnish || -0.399051741003
sum	add,add together,add up,count,enumerate,number,numerate,say,state,sum up,summarise,summarize,summate,tally,tell,tot,tot up,total,tote up || 0.864664716763
sum up	add,resume,sum,total || 0.0
summarise	resume,sum || 0.698805788088
summarize	resume,sum || 0.698805788088
summate	add,sum,total || 0.798103482005
summon	cite,demand,mobilise,mobilize,muster,page,rally || 0.550671035883
summons	cite,demand || 0
supercede	displace,replace,substitute,supersede,supplant || 0
supercharge	advance,boost || 0
superimpose	develop || 0
superintend	build,manage || 0
superpose	develop || 0
supersede	come after,displace,follow,replace,substitute,succeed,supercede,supervene upon,supplant || 0
supervene upon	displace,replace,substitute,supersede,supplant || 0.0
supervise	build,manage || 0
supplant	come after,displace,follow,replace,substitute,succeed,supercede,supersede,supervene upon || 0
supplement	add,add on,affix,append,attach,be,comprise,constitute,leverage,make up,represent || -0.329679953964
supply	add,afford,append,board,bottom,bush,capitalize,cater,charge,date,distribute,edge,extend,feed,flood,free,fuel,fund,furnish,give,headline,help,index,issue,joint,key,leverage,match,meet,offer,partner,ply,pour,power,provide,provision,pump,release,render,say,seat,serve,state,step,stock,sustain,tap,tell,theme,top,treat,tube,water,yield || 0
support	abide,accept,act,advance,affirm,agree,aid,allow,approve,argue,assist^,back,back up,bear,bear out,block,boost,brace,bracket,brook,buoy,carry,check,concord,concur,confirm,correspond,corroborate,countenance,defend,digest,encourage,endorse,endure,establish,fend for,fit,foster,fund,further,gibe,give,guarantee,help,hold,hold up,indorse,jibe,justify,keep going,let,match,nurture,o.k.,okay,patronage,patronise,patronize,pay,permit,play,plump for,plunk for,promote^,prop,prop up,prove,provide,pull,put up,reason,represent,sanction,second,shop,shore,show,side,sponsor,stand,stick out,stomach,submit,subscribe,substantiate,suffer,sustain,take,tally,tolerate,undergo,underpin,validate || 0.688488532324
suppose	develop,guess,premise,retrace,say,speculate,suspect,think || -0.232935262696
suppress	blink,bottle up,confine,contain,control,curb,dampen,hold,keep,moderate,reduce,restrain,stifle,still,subdue || -0.60618803114
suppurate	mature || 0.329679953964
sur environ	round || 0.0
sur go past	pass || 0.0
surcharge	rob,soak,squeeze || -0.329679953964
surevaluate	pass || 0.0
surface	copper,emerge,finish,galvanise,galvanize,metal,paint,pave,rise,seal,size,swell,zinc || -0.550671035883
surge^	ameliorate,arise,better,billow,blow up,come up,course,feed,flow,go up,heave,improve,inflate,lift,meliorate,move up,rise,run,scend,soar,soar up,soar upwards,tide,uprise,zoom || 0.0
surmise	suspect || -0.329679953964
surmount	beat,better,break,exceed,outperform,outstrip,outweigh,overcome,scale,subdue,surpass^ || 0
surpass^	beat,beat out,better,break,crush,eclipse,exceed,excel,go,go by,go past,locomote,move,outdo,outgo,outmatch,outperform,outstrip,outweigh,overshadow*,pass,pass by,rank,shell,stand out,surmount,surpass^,top,transcend,travel,travel by,trounce,vanquish || 0.0
surprise	act,affect,assail,attack,catch,impress,move,shock,storm,strike || 0.329679953964
surrender	cede,deliver,gift,give,give up,present,relinquish,sell,yield || 0.698805788088
surround	adjoin,assail,attack,bear,beleaguer,besiege,border,carry,circle,circumvent,contact,contain,cover,encircle,environ,fence,fence in,hem in,hold,meet,palisade,protect,ring,round,skirt,smother,touch,wall || 0.329679953964
surveil	follow,survey || 0
survey	analyse,analyze,appraise,calculate,canvas,canvass,cipher,compute,cypher,examine,figure,follow,go over,inspect,overlook,poll,reckon,review,see,study,surveil,work out || 0
survive	come through,defeat,drift,endure,exist,get the better of,go,hold out,hold up,last,live,live on,make it,outlast,outlive,overcome,pull round,pull through,subsist,survive || 0.0
suspect	disbelieve,discredit,distrust,doubt,guess,hazard,imagine,mistrust,opine,pretend,reckon,suppose,surmise,think,venture || -0.399051741003
suspend	alter,break,change,debar,defer,expel,freeze,hang,hang up,hold over,interrupt,kick out,modify,postpone,prorogue,put off,put over,remit,set aside,set back,shelve,table,throw out || -0.550671035883
suspire	inspire^ || 0.550671035883
suss out	follow,watch || 0.0
sustain	acknowledge,admit,affirm,back,bear on,block,brace,bracket,break up,buoy,carry,carry on,cater,collapse*,confirm,continue,corroborate,establish,experience,get,have,have got,hold,hold up,keep,keep up,maintain,nourish,nurture,ply,preserve,prolong,prop,prop up,prove,provide,receive,retain,shore,show,substantiate,suffer,supply,support,undergo,underpin,uphold,validate || 0.569315506448
swag	droop*,flag,lurch,reel,sag,slump || 0
swagger	act,behave,blarney,bluster,browbeat,bully,cajole,coax,cock,do,inveigle,palaver,prance,ruffle,sashay,strut,swash,sweet-talk,tittup,walk,wheedle || 0
swallow	accept,bury,withdraw || 0.10807514195
swallow up	bury || 0.0
swamp	flood || 0
swan	assert,claim,declare,drift,hold,range,roll,take,tell || 0.329679953964
swap	change,exchange,go,interchange,locomote,move,switch,swop,trade,travel || 0
swarm	crawl,pour || 0
swash	blow,gas,swagger,tout || -0.698805788088
sway	carry,oscillate,rock,roll,shake,swing || 0
swear	assert,bank,bet,calculate,claim,count,credit,declare,depend,hold,look,take,tell,trust || 0.550671035883
swear out	process,serve || 0.0
sweep	broom,brush,clean,continue,cover,cross,drag,drag in,embroil,extend,handle,involve,make clean,move,pass over,sail,span,sweep up,swing,swing out,tangle,traverse,wield,win,wipe || 0.402509973161
sweep over	overcome,overtake || 0.0
sweep up	adopt,drag,embrace,sweep || 0.0
sweet-talk	bully,swagger || 0.550671035883
swell	act,arise,behave,bulk,come up,develop,do,expand,grow,increase,intumesce,originate,puff up,rise,rise up,spring up,surface,swell up,tumefy,tumesce,uprise,well,well up || 0.756525993652
swell up	swell || 0.0
swerve	curve,cut,slew,trend || 0
swig	slug || -0.550671035883
swim	buoy,crawl,dive,float || 0
swindle	short || -0.329679953964
swing	act upon,aim,be,change,dangle,direct,displace,droop*,drop,fluctuate,fornicate,get around,go,handle,hang,influence,live,locomote,move,move back and forth,oscillate,play,socialise,socialize,sway,sweep,swing out,swing over,take,take aim,train,travel,wield,work || 0.134169991054
swing out	sweep,swing || 0.0
swing over	swing || 0.0
swinge	blacken,char,scorch,sear,singe || 0
swipe	lift || -0.329679953964
switch	alter,alternate,back,break,change,change by reversal,change over,cut,engage,exchange,flip,flip-flop,flog,interchange,jump,lash,lather,leap,lock,mesh,modify,operate,reverse,shift,slash,strap,swap,switch over,swop,tack,throw,trade,transition,trounce,turn,welt,whip || 0.0
switch off	cut || 0.0
switch over	exchange,switch || 0.0
swoon	black out,conk,faint,pass out,zonk out || -0.329679953964
swop	swap,switch,trade || 0
symbolise	be,represent || 0.329679953964
symbolize	be,represent || 0.329679953964
synchronise	dub || 0
synchronize	dub || 0
systematise	digest || 0
systematize	digest || 0
systemise	digest || 0
systemize	digest || 0
table	call,hold,postpone,remit,reprieve,suspend || 0
tack	alternate,append,assemble,attach,baste,bring together,change by reversal,compound,create,fasten,fix,flip,flip-flop,hang on,interchange,join,make,piece,put together,reverse,run up,sail,secure,set up,sew,sew together,stitch,switch,tack on,tack together,tag on,turn,wear round || 0.550671035883
tack on	tack || 0.0
tack together	compound,tack || 0.0
tackle	rise || -0.550671035883
tag	calibrate,chase,dog,label,mark,nab,point,tail,track || -0.698805788088
tag on	tack || 0.0
tail	bob,chase,chase after,cut,dock,dog,follow,give chase,go after,pinch,pursue,tag,top,track,trail || -0.698805788088
tailor	cut,run up || 0.329679953964
tailor-make	run up || 0
taint	infect || 0
take	abide,accept,acquire,act,admit,adopt,affirm,aim,apply,ask,assert,assume,aver,avow,bail,bail out,bang,be,be intimate,beacon,bear,become,bed,bonk,borrow,bring,brook,buy,call for,cancel,carry,catch,change,charge,charter,choose,claim,clear,collect,come down,conduct,consider,construe,consume,contain,contemplate,contract,convey,cost,cover,cross,cut across,cut through,deal,decide,demand,despoil,determine,dig,digest,direct,dislodge,do it,do work,draw,drive,drop,eat,eff,eliminate,employ,endure,engage,enter,eviscerate,exact,expend,experience,feature,feed,fetch,fill,film,find,fix,follow,free,fuck,get,get across,get hold of,get it on,get laid,get over,go,grab,guide,hand,have,have a go at it,have intercourse,have it away,have it off,have sex,head,hire,hit,hold,hollow,hump,imply,incur,ingest,interpret,involve,jazz,know,land,lead,learn,lease,level,lie with,lift,limit,look at,love,make,make love,make out,make up one's mind,move,necessitate,need,obtain,occupy,pack,pass over,pick,pick out,place,play,point,position,postulate,practice,propose,pull,purchase,put down,put up,read,recall,receive,record,relieve,remove,rent,require,rescue,retake,return,roll in the hay,scale,scoop,screw,see,select,set,shed,shoot,show,sicken,side,sift,sleep with,sort,stand,stem,stick out,stomach,strike,string,study,submit,subscribe,subscribe to,suffer,support,swan,swear,swing,take aim,take away,take in,take on,take up,target,taste,test,think about,throw,tip,tolerate,touch,track,train,transmit,transport,traverse,try,tube,turn,undergo,unveil,use,use up,usher,utilise,utilize,verify,vote,welcome,win,withdraw,work || 0.153841471926
